404.6134840024265	16.93	2.5489395709866316	0.05
411.54583395070875	16.22	2.625309187298175	0.05
436.8830355552917	14.18	2.949506494487356	0.05
457.40049672967564	12.97	3.2621818001032152	0.05
513.6963811173151	10.77	4.331847456235552	0.05
556.5040438437799	9.71	5.3333005127190765	0.05
566.9689952470433	9.5	5.6009607673920385	0.05
571.7060245026413	9.41	5.724971387966717	0.05
615.5354349423102	8.7	6.95441174824852	0.05
634.3522680553652	8.45	7.526470946017195	0.05
696.1866225593028	7.79	9.586649017742275	0.05
806.851000614712	7.0	13.940438946117688	0.05
814.0645038432241	6.96	14.253300153000685	0.05
